video_id,youtube_id,label,benchmark,domain,sub_category,duration_type,total_sec,total_frames,full_mu,full_sigma,full_peak_count,full_autocorr,s1_mu,s1_sigma,s1_peak_count,s1_autocorr,s1_mu_diff,s1_sigma_diff,s2_mu,s2_sigma,s2_peak_count,s2_autocorr,s2_mu_diff,s2_sigma_diff,s3_mu,s3_sigma,s3_peak_count,s3_autocorr,s3_mu_diff,s3_sigma_diff,status,error_msg,processed_at
232,zPx3EibuO_w,life_record_food_short,video_mme,Life Record,Food,short,47.0,47.0,0.812817,0.098755,7.8261,0.188576,0.812817,0.098755,7.8261,0.188576,0.0,0.0,0.806833,0.111092,9.4737,0.312962,-0.005984,0.012337,0.817911,0.097647,8.5714,0.298587,0.005094,-0.001108,success,,2026-04-16 04:59:09
233,J2rlJV7zKZw,life_record_food_short,video_mme,Life Record,Food,short,51.0,51.0,0.878984,0.118987,13.2,0.002938,0.878984,0.118987,13.2,0.002938,0.0,0.0,0.861196,0.095279,15.7895,0.183713,-0.017788,-0.023708,0.872792,0.110141,13.6364,0.038536,-0.006192,-0.008846,success,,2026-04-16 04:59:21
261,aWBRHk_-5as,life_record_travel_short,video_mme,Life Record,Travel,short,30.0,30.0,0.751911,0.150289,14.4828,0.129087,0.751911,0.150289,14.4828,0.129087,0.0,0.0,0.787933,0.15167,15.7895,0.051847,0.036022,0.001381,0.751911,0.150289,14.4828,0.129087,0.0,0.0,success,,2026-04-16 04:59:30
262,PaC3CEkCD6k,life_record_travel_short,video_mme,Life Record,Travel,short,46.0,46.0,0.751013,0.20339,12.0,0.026393,0.751013,0.20339,12.0,0.026393,0.0,0.0,0.778127,0.187712,12.6316,-0.203817,0.027114,-0.015678,0.734063,0.200175,11.4286,-0.084684,-0.01695,-0.003215,success,,2026-04-16 04:59:41
263,AyIqI6P8eN8,life_record_travel_short,video_mme,Life Record,Travel,short,58.0,58.0,0.813432,0.117441,15.7895,-0.399378,0.813432,0.117441,15.7895,-0.399378,0.0,0.0,0.804402,0.127543,12.6316,-0.272876,-0.00903,0.010102,0.808487,0.112506,15.0,-0.332926,-0.004945,-0.004935,success,,2026-04-16 04:59:55
251,1sTQOxXFO44,life_record_daily_life_short,video_mme,Life Record,Daily Life,short,81.0,81.0,0.821253,0.103124,10.5,-0.025915,0.815793,0.105381,10.1695,0.016511,-0.00546,0.002257,0.825235,0.119138,10.5,-0.072439,0.003982,0.016014,0.815793,0.105381,10.1695,0.016511,-0.00546,0.002257,success,,2026-04-16 05:00:08
252,RP1AL2DU6vQ,life_record_daily_life_short,video_mme,Life Record,Daily Life,short,108.0,108.0,0.882005,0.122034,8.972,-0.004738,0.865771,0.134467,9.1525,-0.06407,-0.016234,0.012433,0.88168,0.136474,7.1186,-0.039303,-0.000325,0.01444,0.886307,0.133378,6.1017,-0.060074,0.004302,0.011344,success,,2026-04-16 05:00:33
253,kePBvNotYy4,life_record_daily_life_short,video_mme,Life Record,Daily Life,short,119.0,119.0,0.897647,0.103443,12.7119,-0.199368,0.891653,0.103038,13.2203,-0.197847,-0.005994,-0.000405,0.888173,0.111782,12.2034,-0.193673,-0.009474,0.008339,0.88949,0.105318,11.1864,-0.209957,-0.008157,0.001875,success,,2026-04-16 05:00:47
91,_aVHf_jmWk8,film_television_animation_short,video_mme,Film & Television,Animation,short,44.0,44.0,0.742106,0.157149,9.7674,-0.025442,0.742106,0.157149,9.7674,-0.025442,0.0,0.0,0.753646,0.155067,12.6316,0.205664,0.01154,-0.002082,0.739529,0.153918,10.2439,0.05957,-0.002577,-0.003231,success,,2026-04-16 05:02:15
92,3rTsETO3s9U,film_television_animation_short,video_mme,Film & Television,Animation,short,43.0,43.0,0.87169,0.127333,8.5714,-0.183905,0.87169,0.127333,8.5714,-0.183905,0.0,0.0,0.870255,0.130599,6.3158,-0.27303,-0.001435,0.003266,0.879115,0.12099,9.0,-0.199331,0.007425,-0.006343,success,,2026-04-16 05:02:26
93,drbi6HK1gSc,film_television_animation_short,video_mme,Film & Television,Animation,short,82.0,82.0,0.878131,0.131808,7.4074,0.003643,0.862119,0.124336,7.1186,0.039761,-0.016012,-0.007472,0.879593,0.154677,8.7805,-0.152511,0.001462,0.022869,0.860806,0.124924,7.1186,0.017905,-0.017325,-0.006884,success,,2026-04-16 05:02:39
101,tiMaUSvlzIU,film_television_movie_tv_show_short,video_mme,Film & Television,Movie & TV Show,short,46.0,46.0,0.866615,0.124479,13.3333,-0.406708,0.866615,0.124479,13.3333,-0.406708,0.0,0.0,0.853849,0.134366,9.4737,-0.462685,-0.012766,0.009887,0.863744,0.12764,14.2857,-0.413259,-0.002871,0.003161,success,,2026-04-16 05:02:53
103,G267g0DpCVg,film_television_movie_tv_show_short,video_mme,Film & Television,Movie & TV Show,short,60.0,60.0,0.860757,0.091992,11.1864,-0.078489,0.860757,0.091992,11.1864,-0.078489,0.0,0.0,0.84964,0.090353,15.7895,0.095252,-0.011117,-0.001639,0.86118,0.082296,12.2449,-0.065965,0.000423,-0.009696,success,,2026-04-16 05:03:07
111,HmnKbBmYii8,film_television_documentary_short,video_mme,Film & Television,Documentary,short,65.0,65.0,0.928845,0.089823,6.5625,0.220115,0.924321,0.092016,7.1186,0.231842,-0.004524,0.002193,0.92,0.130916,7.5,-0.063213,-0.008845,0.041093,0.935951,0.080826,5.8824,0.109763,0.007106,-0.008997,success,,2026-04-16 05:03:20
