video_id,youtube_id,label,benchmark,domain,sub_category,duration_type,total_sec,total_frames,full_mu,full_sigma,full_peak_count,full_autocorr,s1_mu,s1_sigma,s1_peak_count,s1_autocorr,s1_mu_diff,s1_sigma_diff,s2_mu,s2_sigma,s2_peak_count,s2_autocorr,s2_mu_diff,s2_sigma_diff,s3_mu,s3_sigma,s3_peak_count,s3_autocorr,s3_mu_diff,s3_sigma_diff,status,error_msg,processed_at
391,jIzGzPzdLwM,film_television_animation_medium,video_mme,Film & Television,Animation,medium,677.0,677.0,0.881697,0.092582,10.9172,0.08649,0.898788,0.087029,9.1525,0.056451,0.017091,-0.005553,0.914303,0.080907,10.1695,0.080784,0.032606,-0.011675,0.896691,0.090227,7.1186,0.01515,0.014994,-0.002355,success,,2026-04-16 06:19:05
392,edAu5_O4C54,film_television_animation_medium,video_mme,Film & Television,Animation,medium,330.0,330.0,0.850105,0.086082,11.307,0.185642,0.846915,0.077722,9.1525,0.016937,-0.00319,-0.00836,0.84928,0.083896,10.1695,0.104708,-0.000825,-0.002186,0.827451,0.093945,8.1356,0.153616,-0.022654,0.007863,success,,2026-04-16 06:19:44
393,dcYgBU4t98E,film_television_animation_medium,video_mme,Film & Television,Animation,medium,411.0,411.0,0.895579,0.072147,9.6585,0.20082,0.916397,0.061643,10.1695,0.290142,0.020818,-0.010504,0.892704,0.061061,10.1695,0.474711,-0.002875,-0.011086,0.898285,0.065536,12.2034,0.171516,0.002706,-0.006611,success,,2026-04-16 06:20:27
402,44G3dPME330,film_television_movie_tv_show_medium,video_mme,Film & Television,Movie & TV Show,medium,482.0,482.0,0.908219,0.098231,11.3514,0.00114,0.895223,0.126064,10.1695,-0.277802,-0.012996,0.027833,0.906892,0.121682,10.1695,-0.07841,-0.001327,0.023451,0.921339,0.101822,5.0847,-0.157237,0.01312,0.003591,success,,2026-04-16 06:21:04
403,iC54QQSe4_I,film_television_movie_tv_show_medium,video_mme,Film & Television,Movie & TV Show,medium,255.0,255.0,0.885718,0.095781,12.9921,-0.175278,0.875163,0.092561,15.2542,-0.037158,-0.010555,-0.00322,0.891598,0.092048,13.2203,-0.154466,0.00588,-0.003733,0.885413,0.090822,12.2034,0.002806,-0.000305,-0.004959,success,,2026-04-16 06:21:30
411,K759eXmaMTY,film_television_documentary_medium,video_mme,Film & Television,Documentary,medium,745.0,745.0,0.889079,0.129565,9.5968,-0.133281,0.889241,0.139743,7.1186,-0.156988,0.000162,0.010178,0.879956,0.12801,12.2034,-0.061071,-0.009123,-0.001555,0.882436,0.153499,12.2034,-0.118181,-0.006643,0.023934,success,,2026-04-16 06:22:35
412,xr_nln2ZQw8,film_television_documentary_medium,video_mme,Film & Television,Documentary,medium,745.0,745.0,0.861098,0.119932,11.4516,-0.034899,0.849135,0.140457,11.1864,-0.223513,-0.011963,0.020525,0.849918,0.113074,11.1864,-0.05308,-0.01118,-0.006858,0.843363,0.127476,13.2203,-0.09841,-0.017735,0.007544,success,,2026-04-16 06:23:36
413,tXb_zrHp4H8,film_television_documentary_medium,video_mme,Film & Television,Documentary,medium,745.0,745.0,0.9126,0.100714,6.2903,0.085406,0.83126,0.156555,13.2203,-0.070366,-0.08134,0.055841,0.875283,0.135268,7.1186,-0.091509,-0.037317,0.034554,0.896946,0.149491,7.1186,-0.004345,-0.015654,0.048777,success,,2026-04-16 06:24:36
421,9SEMSQDO-pg,film_television_news_report_medium,video_mme,Film & Television,News Report,medium,402.0,402.0,0.957744,0.070062,7.182,0.249061,0.933051,0.096947,11.1864,0.223661,-0.024693,0.026885,0.960915,0.062388,7.1186,-0.030318,0.003171,-0.007674,0.963287,0.068968,6.1017,0.132974,0.005543,-0.001094,success,,2026-04-16 06:25:11
422,FkZn5u3MIiY,film_television_news_report_medium,video_mme,Film & Television,News Report,medium,695.0,695.0,0.962994,0.05288,5.7925,0.159765,0.970538,0.072548,3.0508,0.169899,0.007544,0.019668,0.972299,0.071625,3.0508,0.178265,0.009305,0.018745,0.936462,0.109167,6.1017,0.056783,-0.026532,0.056287,success,,2026-04-16 06:26:07
423,S6hF2ffyz2c,film_television_news_report_medium,video_mme,Film & Television,News Report,medium,302.0,302.0,0.93996,0.073838,7.1761,0.277423,0.915907,0.106395,8.1356,0.010873,-0.024053,0.032557,0.93171,0.093576,8.1356,0.198138,-0.00825,0.019738,0.942222,0.078267,6.1017,0.058094,0.002262,0.004429,success,,2026-04-16 06:26:41
601,TGom0uiW130,knowledge_humanity_history_long,video_mme,Knowledge,Humanity & History,long,3169.0,3169.0,0.875348,0.148063,9.4697,-0.088175,0.753978,0.171393,11.1864,-0.115344,-0.12137,0.02333,0.790486,0.167808,11.1864,0.108792,-0.084862,0.019745,0.856623,0.125102,10.1695,0.195817,-0.018725,-0.022961,success,,2026-04-16 06:35:00
602,w0Wmc8C0Eq0,knowledge_humanity_history_long,video_mme,Knowledge,Humanity & History,long,2819.0,2819.0,0.946983,0.079238,6.4727,0.299508,0.935927,0.095862,6.1017,0.212227,-0.011056,0.016624,0.944913,0.093193,5.0847,0.299277,-0.00207,0.013955,0.935658,0.103565,7.1186,0.19503,-0.011325,0.024327,success,,2026-04-16 06:38:26
603,7D-gxaie6UI,knowledge_humanity_history_long,video_mme,Knowledge,Humanity & History,long,2996.0,2996.0,0.906662,0.137653,7.6327,-0.00988,0.853017,0.151663,10.1695,-0.078718,-0.053645,0.01401,0.884869,0.155762,7.1186,-0.090783,-0.021793,0.018109,0.856797,0.153696,7.1186,-0.128471,-0.049865,0.016043,success,,2026-04-16 06:41:11
622,K3ksKkCOgTw,knowledge_biology_medicine_long,video_mme,Knowledge,Biology & Medicine,long,2519.0,2519.0,0.88893,0.138538,9.4361,0.069966,0.819019,0.162611,11.1864,-0.100055,-0.069911,0.024073,0.824664,0.162381,10.1695,-0.003851,-0.064266,0.023843,0.817747,0.170776,10.1695,-0.209437,-0.071183,0.032238,success,,2026-04-16 06:44:23
623,gfikT_O4v9A,knowledge_biology_medicine_long,video_mme,Knowledge,Biology & Medicine,long,2667.0,2667.0,0.984754,0.039895,2.1605,0.089257,0.935225,0.109336,5.0847,0.062405,-0.049529,0.069441,0.931684,0.137407,6.1017,-0.061161,-0.05307,0.097512,0.95409,0.091633,5.0847,0.073769,-0.030664,0.051738,success,,2026-04-16 06:46:59
681,AF8d72mA41M,knowledge_technology_long,video_mme,Knowledge,Technology,long,2024.0,2024.0,0.901025,0.134311,8.3638,0.091237,0.838581,0.149387,14.2373,-0.109103,-0.062444,0.015076,0.846612,0.171547,10.1695,-0.052686,-0.054413,0.037236,0.907471,0.131111,8.1356,0.175104,0.006446,-0.0032,success,,2026-04-16 06:49:09
682,eKVTFXQPAhs,knowledge_technology_long,video_mme,Knowledge,Technology,long,2628.0,2628.0,0.914137,0.115875,5.6643,-0.027241,0.898438,0.132525,4.0678,-0.164957,-0.015699,0.01665,0.860182,0.156813,10.1695,-0.174269,-0.053955,0.040938,0.890256,0.115504,5.0847,-0.015133,-0.023881,-0.000371,success,,2026-04-16 06:51:46
683,U9mJuUkhUzk,knowledge_technology_long,video_mme,Knowledge,Technology,long,2735.0,2735.0,0.946682,0.082501,5.4865,0.063372,0.921082,0.099925,7.1186,-0.166583,-0.0256,0.017424,0.927341,0.129296,7.1186,-0.003653,-0.019341,0.046795,0.949998,0.104544,5.0847,0.081574,0.003316,0.022043,success,,2026-04-16 06:54:14
641,rD5oDjk3IOU,knowledge_astronomy_long,video_mme,Knowledge,Astronomy,long,2766.0,2766.0,0.897621,0.116782,8.6148,0.098812,0.870838,0.124828,10.1695,0.350322,-0.026783,0.008046,0.905224,0.111573,9.1525,0.170324,0.007603,-0.005209,0.915836,0.08361,7.1186,0.055618,0.018215,-0.033172,success,,2026-04-16 06:57:01
642,lAgwMGRvJrM,knowledge_astronomy_long,video_mme,Knowledge,Astronomy,long,1803.0,1803.0,0.934406,0.092353,8.8235,0.026093,0.910887,0.099318,7.1186,-0.08408,-0.023519,0.006965,0.927745,0.096379,8.1356,0.000476,-0.006661,0.004026,0.927971,0.096262,9.1525,-0.077805,-0.006435,0.003909,success,,2026-04-16 06:59:06
643,Ei-TcECJVXU,knowledge_astronomy_long,video_mme,Knowledge,Astronomy,long,2663.0,2663.0,0.899559,0.136354,7.7536,-0.074145,0.893403,0.151874,11.1864,-0.166715,-0.006156,0.01552,0.879894,0.132904,9.1525,0.093724,-0.019665,-0.00345,0.860196,0.171931,13.2203,-0.00663,-0.039363,0.035577,success,,2026-04-16 07:02:21
624,mAwgdX5VxGc,knowledge_biology_medicine_long,video_mme,Knowledge,Biology & Medicine,long,2118.0,2118.0,0.960155,0.051565,4.0529,0.215756,0.943867,0.11153,5.0847,0.10625,-0.016288,0.059965,0.949589,0.119019,4.0678,0.103004,-0.010566,0.067454,0.912633,0.119666,4.0678,0.032159,-0.047522,0.068101,success,,2026-04-16 07:10:23
821,c03YTDzmsK8,life_record_handicraft_long,video_mme,Life Record,Handicraft,long,2370.0,2370.0,0.921797,0.049788,7.9274,0.327,0.894988,0.056881,9.1525,0.228368,-0.026809,0.007093,0.907776,0.08044,8.1356,0.099136,-0.014021,0.030652,0.922636,0.076403,5.0847,0.116218,0.000839,0.026615,success,,2026-04-16 07:14:38
822,3MJNKd10kxM,life_record_handicraft_long,video_mme,Life Record,Handicraft,long,1930.0,1930.0,0.922535,0.069134,6.3142,0.205456,0.930283,0.132694,6.1017,0.229193,0.007748,0.06356,0.909771,0.131118,6.1017,0.205689,-0.012764,0.061984,0.885013,0.131336,8.1356,0.070596,-0.037522,0.062202,success,,2026-04-16 07:17:51
823,vDzNVHXc66U,life_record_handicraft_long,video_mme,Life Record,Handicraft,long,1961.0,1961.0,0.894281,0.062158,8.2959,0.277511,0.895931,0.04654,8.1356,0.05629,0.00165,-0.015618,0.888844,0.059213,7.1186,0.24204,-0.005437,-0.002945,0.897303,0.055003,7.1186,0.31671,0.003022,-0.007155,success,,2026-04-16 07:20:53
831,6Pt3-NDxzRk,life_record_food_long,video_mme,Life Record,Food,long,1863.0,1863.0,0.90092,0.086924,6.8314,0.166589,0.892626,0.081233,7.1186,0.438105,-0.008294,-0.005691,0.894926,0.080547,8.1356,0.47287,-0.005994,-0.006377,0.86446,0.099823,11.1864,0.03044,-0.03646,0.012899,success,,2026-04-16 07:23:32
832,iWT0kl1k32M,life_record_food_long,video_mme,Life Record,Food,long,2032.0,2032.0,0.804667,0.16813,10.1329,0.072893,0.778694,0.160096,11.1864,0.039108,-0.025973,-0.008034,0.794354,0.154564,11.1864,-0.017218,-0.010313,-0.013566,0.815098,0.166022,10.1695,0.117135,0.010431,-0.002108,success,,2026-04-16 07:25:25
833,lw3_W5X1t54,life_record_food_long,video_mme,Life Record,Food,long,2078.0,2078.0,0.886799,0.125678,10.2552,-0.042219,0.816639,0.157954,12.2034,-0.292607,-0.07016,0.032276,0.82993,0.167982,9.1525,-0.177206,-0.056869,0.042304,0.855107,0.175253,12.2034,-0.208226,-0.031692,0.049575,success,,2026-04-16 07:27:55
861,_T2Avd3tFHc,life_record_travel_long,video_mme,Life Record,Travel,long,1844.0,1844.0,0.825666,0.129171,10.5155,0.048633,0.758287,0.17444,12.2034,-0.225248,-0.067379,0.045269,0.758737,0.185348,12.2034,-0.354284,-0.066929,0.056177,0.783431,0.180877,13.2203,0.0196,-0.042235,0.051706,success,,2026-04-16 07:30:46
862,uzyYKAPcfmE,life_record_travel_long,video_mme,Life Record,Travel,long,1809.0,1809.0,0.864321,0.149318,10.7854,-0.101587,0.811184,0.172885,14.2373,-0.059682,-0.053137,0.023567,0.808801,0.164732,12.2034,-0.076203,-0.05552,0.015414,0.811896,0.179503,14.2373,-0.235494,-0.052425,0.030185,success,,2026-04-16 07:33:01
692,TF9I1GxNdJQ,film_television_animation_long,video_mme,Film & Television,Animation,long,1841.0,1841.0,0.888468,0.097019,10.0109,0.108872,0.927493,0.085323,9.1525,0.029728,0.039025,-0.011696,0.941703,0.067061,7.1186,-0.073782,0.053235,-0.029958,0.890107,0.120251,11.1864,0.095156,0.001639,0.023232,success,,2026-04-16 09:25:04
693,dXUXfyiX2lA,film_television_animation_long,video_mme,Film & Television,Animation,long,1950.0,1950.0,0.919195,0.082144,8.8661,0.082457,0.894977,0.094379,12.2034,0.139213,-0.024218,0.012235,0.901774,0.087931,10.1695,0.233667,-0.017421,0.005787,0.914292,0.1019,9.1525,0.377257,-0.004903,0.019756,success,,2026-04-16 09:27:05
702,p84O3JAp_IM,film_television_movie_tv_show_long,video_mme,Film & Television,Movie & TV Show,long,2104.0,2104.0,0.879177,0.097117,12.0399,0.042685,0.852906,0.126873,11.1864,-0.282834,-0.026271,0.029756,0.832148,0.126975,11.1864,-0.294714,-0.047029,0.029858,0.848822,0.131984,9.1525,-0.286628,-0.030355,0.034867,success,,2026-04-16 09:28:18
703,HP_J8x9lsUg,film_television_movie_tv_show_long,video_mme,Film & Television,Movie & TV Show,long,2645.0,2645.0,0.868986,0.113893,10.3026,0.004147,0.798551,0.147246,10.1695,0.242395,-0.070435,0.033353,0.799933,0.134221,11.1864,-0.05301,-0.069053,0.020328,0.839841,0.13854,11.1864,0.245799,-0.029145,0.024647,success,,2026-04-16 09:31:34
711,XOfeqRgaF1A,film_television_documentary_long,video_mme,Film & Television,Documentary,long,2545.0,2545.0,0.894348,0.128151,9.5519,0.004811,0.845425,0.157959,14.2373,0.224558,-0.048923,0.029808,0.850139,0.165838,15.2542,0.302486,-0.044209,0.037687,0.851283,0.152009,14.2373,0.096829,-0.043065,0.023858,success,,2026-04-16 09:34:07
712,GDzuMTvHnJE,film_television_documentary_long,video_mme,Film & Television,Documentary,long,2665.0,2665.0,0.853005,0.133795,11.6667,-0.118318,0.832828,0.15424,12.2034,-0.191621,-0.020177,0.020445,0.777704,0.161237,12.2034,-0.124439,-0.075301,0.027442,0.878442,0.137165,12.2034,-0.171597,0.025437,0.00337,success,,2026-04-16 09:37:22
713,y4-CnqfK3pk,film_television_documentary_long,video_mme,Film & Television,Documentary,long,2545.0,2545.0,0.912001,0.100682,8.75,0.089027,0.809446,0.141243,13.2203,-0.107605,-0.102555,0.040561,0.817785,0.148819,12.2034,-0.011693,-0.094216,0.048137,0.85694,0.127791,14.2373,-0.024043,-0.055061,0.027109,success,,2026-04-16 09:39:59
721,qd2ivr-5oEM,film_television_news_report_long,video_mme,Film & Television,News Report,long,2656.0,2656.0,0.918321,0.118838,8.452,0.007995,0.822097,0.188138,12.2034,-0.030636,-0.096224,0.0693,0.928197,0.118417,6.1017,0.182531,0.009876,-0.000421,0.916056,0.130468,7.1186,0.108036,-0.002265,0.01163,success,,2026-04-16 09:43:55
722,54H8ppxnp8I,film_television_news_report_long,video_mme,Film & Television,News Report,long,2128.0,2128.0,0.942342,0.088044,4.6827,0.130784,0.822549,0.20084,14.2373,0.027883,-0.119793,0.112796,0.854521,0.172729,13.2203,-0.098373,-0.087821,0.084685,0.877788,0.152647,10.1695,-0.029238,-0.064554,0.064603,success,,2026-04-16 09:46:04
723,n5DXniZGkME,film_television_news_report_long,video_mme,Film & Television,News Report,long,2700.0,2700.0,0.919908,0.119629,7.0471,-0.03768,0.903465,0.142846,9.1525,-0.165738,-0.016443,0.023217,0.903144,0.1506,8.1356,-0.05124,-0.016764,0.030971,0.900231,0.113752,11.1864,0.106354,-0.019677,-0.005877,success,,2026-04-16 09:48:50
404,4aPxxE345OM,film_television_movie_tv_show_medium,video_mme,Film & Television,Movie & TV Show,medium,312.0,312.0,0.876004,0.112199,10.2251,0.016182,0.882491,0.09455,10.1695,-0.043925,0.006487,-0.017649,0.867956,0.108425,10.1695,-0.225098,-0.008048,-0.003774,0.849987,0.120361,12.2034,-0.357438,-0.026017,0.008162,success,,2026-04-16 09:52:49
864,VFntoBRGF1A,life_record_travel_long,video_mme,Life Record,Travel,long,2416.0,2416.0,0.828402,0.132412,10.7329,0.072082,0.783124,0.120769,13.2203,0.06328,-0.045278,-0.011643,0.777179,0.138686,8.1356,0.232009,-0.051223,0.006274,0.807181,0.101737,7.1186,0.113257,-0.021221,-0.030675,success,,2026-04-16 09:56:06
854,E83XxGvEPtI,life_record_daily_life_long,video_mme,Life Record,Daily Life,long,1995.0,1995.0,0.907605,0.078625,7.4323,0.360648,0.903127,0.093055,7.1186,0.272828,-0.004478,0.01443,0.906317,0.065277,11.1864,0.549458,-0.001288,-0.013348,0.937627,0.063016,7.1186,0.567882,0.030022,-0.015609,success,,2026-04-16 09:58:59
855,vzfTpidE5wg,life_record_daily_life_long,video_mme,Life Record,Daily Life,long,1987.0,0.0,,,,,,,,,,,,,,,,,,,,,,,success,,2026-04-16 09:59:08
856,3HEYqZgC4ko,life_record_daily_life_long,video_mme,Life Record,Daily Life,long,1879.0,1879.0,0.910192,0.081919,7.6358,0.238207,0.931622,0.054533,6.1017,-0.045795,0.02143,-0.027386,0.936172,0.056965,7.1186,0.076941,0.02598,-0.024954,0.91805,0.089808,6.1017,0.080075,0.007858,0.007889,success,,2026-04-16 10:01:52
694,Sp2nxlrQ89w,film_television_animation_long,video_mme,Film & Television,Animation,long,1926.0,1926.0,0.900395,0.087233,8.6649,0.048111,0.916895,0.071471,10.1695,0.070996,0.0165,-0.015762,0.892882,0.079858,9.1525,-0.066558,-0.007513,-0.007375,0.912805,0.062937,7.1186,0.006943,0.01241,-0.024296,success,,2026-04-16 10:03:49
704,HTv4z899xgA,film_television_movie_tv_show_long,video_mme,Film & Television,Movie & TV Show,long,2859.0,2859.0,0.876937,0.108872,10.14,0.029028,0.874591,0.09255,11.1864,0.11877,-0.002346,-0.016322,0.866768,0.087433,10.1695,0.056743,-0.010169,-0.021439,0.858112,0.119844,13.2203,-0.094486,-0.018825,0.010972,success,,2026-04-16 10:06:56
